Unnamed: 0	initial_df_index	chrom	end	start	strand	disruption_SCD	insertion_SCD	orientation	background_index	flank_bp	spacer_bp
1003	5542	chr1	20564636	20564617	-	6.145	4.82	>>	0	13	77
1004	4372	chr1	39105011	39104992	-	6.14	7.152	>>	0	13	77
1005	5026	chr1	98909856	98909837	-	6.117	18.95	>>	0	13	77
1006	381	chr1	151025102	151025083	+	6.117	4.496	>>	0	13	77
1007	2251	chr5	98167777	98167758	-	6.113	9.555	>>	0	13	77
1008	3622	chr8	88118562	88118543	+	6.062	3.66	>>	0	13	77
1009	6767	chr1	92511934	92511915	+	6.035	16.34	>>	0	13	77
1010	6216	chr1	25792295	25792276	-	6.008	6.87	>>	0	13	77
1011	5783	chr1	92751194	92751175	+	5.938	12.68	>>	0	13	77
1012	2270	chr5	101688793	101688774	-	5.934	12.51	>>	0	13	77
1013	3191	chr7	112023252	112023233	+	5.93	8.26	>>	0	13	77
1014	5911	chr1	21854038	21854019	-	5.914	27.36	>>	0	13	77
1015	3462	chr8	32003733	32003714	-	5.9	2.012	>>	0	13	77
1016	5672	chr1	53095394	53095375	-	5.867	6.086	>>	0	13	77
1017	501	chr1	182554179	182554160	+	5.836	10.15	>>	0	13	77
1018	2484	chr6	18381568	18381549	+	5.832	1.955	>>	0	13	77
1019	4110	chr9	77389590	77389571	+	5.832	5.68	>>	0	13	77
1020	6542	chr1	5254481	5254462	-	5.812	12.77	>>	0	13	77
1021	822	chr2	93199625	93199606	+	5.797	14.08	>>	0	13	77
1022	4126	chr9	81631651	81631632	-	5.793	3.863	>>	0	13	77
1023	1008	chr2	152887412	152887393	-	5.78	4.652	>>	0	13	77
1024	2014	chr4	153481137	153481118	-	5.766	3.3	>>	0	13	77
1025	3568	chr8	72239706	72239687	-	5.754	5.32	>>	0	13	77
1026	7292	chr1	65750236	65750217	-	5.703	2.543	>>	0	13	77
1027	2598	chr6	61311882	61311863	-	5.68	7.43	>>	0	13	77
1028	7226	chr1	46143625	46143606	+	5.676	6.477	>>	0	13	77
1029	2785	chr6	120836118	120836099	+	5.64	7.797	>>	0	13	77
1030	2720	chr6	100563990	100563971	-	5.625	4.164	>>	0	13	77
1031	1176	chr3	13475098	13475079	-	5.61	1.948	>>	0	13	77
1032	938	chr2	132262968	132262949	+	5.6	7.164	>>	0	13	77
1033	5060	chr1	103334169	103334150	+	5.594	12.02	>>	0	13	77
1034	2573	chr6	54255029	54255010	+	5.586	4.35	>>	0	13	77
1035	5816	chr1	101711018	101710999	+	5.543	9.15	>>	0	13	77
1036	2139	chr5	39644761	39644742	-	5.54	3.531	>>	0	13	77
1037	3629	chr8	90795201	90795182	-	5.516	4.996	>>	0	13	77
1038	7141	chr1	23162646	23162627	+	5.51	1.562	>>	0	13	77
1039	6739	chr1	78165563	78165544	+	5.477	7.39	>>	0	13	77
1040	833	chr2	96584106	96584087	-	5.44	3.29	>>	0	13	77
1041	5345	chr1	72070473	72070454	+	5.426	11.336	>>	0	13	77
1042	5222	chr1	24708691	24708672	+	5.414	9.914	>>	0	13	77
1043	3642	chr8	92367135	92367116	-	5.406	6.984	>>	0	13	77
1044	7049	chr1	83866777	83866758	+	5.4	23.0	>>	0	13	77
1045	5690	chr1	55322636	55322617	-	5.4	7.0	>>	0	13	77
1046	2666	chr6	88893771	88893752	-	5.395	16.78	>>	0	13	77
1047	7383	chr1	8718731	8718712	-	5.383	8.6	>>	0	13	77
1048	5322	chr1	59220179	59220160	-	5.38	2.5	>>	0	13	77
1049	6013	chr1	60784526	60784507	+	5.367	16.06	>>	0	13	77
1050	1526	chr3	153658591	153658572	+	5.33	6.258	>>	0	13	77
1051	4108	chr9	77386949	77386930	-	5.312	12.24	>>	0	13	77
1052	4537	chr1	83219903	83219884	+	5.312	6.188	>>	0	13	77
1053	2480	chr6	15176967	15176948	-	5.31	2.947	>>	0	13	77
1054	1004	chr2	152604207	152604188	-	5.27	19.44	>>	0	13	77
1055	693	chr2	39003369	39003350	-	5.26	1.671	>>	0	13	77
1056	6651	chr1	31425707	31425688	-	5.254	13.484	>>	0	13	77
1057	2418	chr5	137503018	137502999	-	5.227	3.691	>>	0	13	77
1058	7118	chr1	13973086	13973067	-	5.207	0.71	>>	0	13	77
1059	6996	chr1	68849016	68848997	-	5.2	1.891	>>	0	13	77
1060	914	chr2	128408931	128408912	-	5.19	8.72	>>	0	13	77
1061	6107	chr1	97559790	97559771	-	5.16	2.041	>>	0	13	77
1062	3548	chr8	67903864	67903845	-	5.13	6.113	>>	0	13	77
1063	5999	chr1	56888181	56888162	-	5.125	3.316	>>	0	13	77
1064	1917	chr4	132198465	132198446	+	5.125	11.19	>>	0	13	77
1065	694	chr2	39005861	39005842	-	5.12	3.883	>>	0	13	77
1066	3307	chr7	137471679	137471660	-	5.1	19.97	>>	0	13	77
1067	2605	chr6	64949075	64949056	+	5.09	5.168	>>	0	13	77
1068	7129	chr1	16821148	16821129	+	5.043	1.935	>>	0	13	77
1069	828	chr2	93813566	93813547	+	5.04	13.086	>>	0	13	77
1070	2810	chr6	126481478	126481459	-	5.023	10.89	>>	0	13	77
1071	491	chr1	181881093	181881074	-	4.984	10.19	>>	0	13	77
1072	2747	chr6	108065822	108065803	-	4.977	6.67	>>	0	13	77
1073	1734	chr4	88550373	88550354	+	4.938	4.04	>>	0	13	77
1074	2417	chr5	137502167	137502148	+	4.867	8.81	>>	0	13	77
1075	3584	chr8	77618148	77618129	-	4.86	4.188	>>	0	13	77
1076	3236	chr7	120098024	120098005	+	4.855	7.22	>>	0	13	77
1077	778	chr2	75152706	75152687	-	4.824	10.55	>>	0	13	77
1078	4988	chr1	87950193	87950174	+	4.78	11.09	>>	0	13	77
1079	5002	chr1	94598936	94598917	-	4.746	10.49	>>	0	13	77
1080	22	chr1	10229119	10229100	+	4.746	0.972	>>	0	13	77
1081	3364	chr7	143476888	143476869	+	4.746	8.89	>>	0	13	77
1082	4197	chr9	102607693	102607674	-	4.715	3.604	>>	0	13	77
1083	3465	chr8	32009749	32009730	+	4.71	6.785	>>	0	13	77
1084	1371	chr3	99262117	99262098	-	4.707	1.889	>>	0	13	77
1085	7325	chr1	75607987	75607968	+	4.664	23.11	>>	0	13	77
1086	3060	chr7	75380211	75380192	-	4.64	2.41	>>	0	13	77
1087	1478	chr3	135863108	135863089	+	4.64	3.164	>>	0	13	77
1088	1730	chr4	87369015	87368996	-	4.625	9.125	>>	0	13	77
1089	3609	chr8	84639535	84639516	+	4.605	13.88	>>	0	13	77
1090	6343	chr1	74524301	74524282	+	4.586	13.7	>>	0	13	77
1091	6969	chr1	57007316	57007297	-	4.582	9.42	>>	0	13	77
1092	4715	chr1	30893985	30893966	+	4.547	0.9004	>>	0	13	77
1093	7545	chr1	57360190	57360171	-	4.543	2.654	>>	0	13	77
1094	3697	chr8	110102657	110102638	-	4.53	9.24	>>	0	13	77
1095	3300	chr7	135389259	135389240	-	4.53	9.336	>>	0	13	77
1096	2010	chr4	152527530	152527511	+	4.516	13.99	>>	0	13	77
1097	5826	chr1	103710441	103710422	+	4.5	4.57	>>	0	13	77
1098	4621	chr1	120896053	120896034	+	4.5	2.322	>>	0	13	77
1099	7087	chr1	5155632	5155613	-	4.484	6.39	>>	0	13	77
1100	5375	chr1	80141693	80141674	-	4.45	17.05	>>	0	13	77
1101	2340	chr5	118763566	118763547	-	4.418	12.81	>>	0	13	77
1102	5203	chr1	14150175	14150156	+	4.406	3.688	>>	0	13	77
1103	4657	chr1	128990300	128990281	-	4.4	8.03	>>	0	13	77
1104	4362	chr1	30834038	30834019	-	4.37	4.473	>>	0	13	77
1105	2551	chr6	50618483	50618464	+	4.367	12.766	>>	0	13	77
1106	6181	chr1	9748972	9748953	-	4.36	3.496	>>	0	13	77
1107	6766	chr1	92308164	92308145	-	4.355	11.22	>>	0	13	77
1108	564	chr2	9881964	9881945	-	4.355	2.918	>>	0	13	77
1109	3768	chr8	123106089	123106070	+	4.336	8.18	>>	0	13	77
1110	2253	chr5	98346264	98346245	+	4.324	2.342	>>	0	13	77
1111	4381	chr1	40249841	40249822	-	4.316	12.23	>>	0	13	77
1112	1489	chr3	141457685	141457666	+	4.312	4.707	>>	0	13	77
1113	3877	chr9	40192620	40192601	-	4.3	2.145	>>	0	13	77
1114	4091	chr9	72448248	72448229	+	4.29	7.78	>>	0	13	77
1115	5560	chr1	24316809	24316790	-	4.273	3.682	>>	0	13	77
1116	101	chr1	50927249	50927230	+	4.258	4.5	>>	0	13	77
1117	5054	chr1	102690417	102690398	-	4.223	12.195	>>	0	13	77
1118	1833	chr4	116627141	116627122	+	4.207	6.52	>>	0	13	77
1119	6368	chr1	76198817	76198798	+	4.164	10.72	>>	0	13	77
1120	6198	chr1	12113620	12113601	-	4.156	3.312	>>	0	13	77
1121	285	chr1	115675059	115675040	+	4.152	5.223	>>	0	13	77
1122	678	chr2	34644807	34644788	-	4.15	8.266	>>	0	13	77
1123	1082	chr2	166084974	166084955	-	4.133	18.12	>>	0	13	77
1124	4695	chr1	21571906	21571887	-	4.13	2.105	>>	0	13	77
1125	6180	chr1	9449709	9449690	-	4.062	0.543	>>	0	13	77
1126	2241	chr5	92664520	92664501	-	4.055	3.326	>>	0	13	77
1127	5369	chr1	77001216	77001197	+	4.043	1.105	>>	0	13	77
1128	2686	chr6	93757507	93757488	-	4.01	5.273	>>	0	13	77
1129	7540	chr1	56302794	56302775	+	4.01	3.797	>>	0	13	77
1130	5744	chr1	71954038	71954019	-	4.008	1.19	>>	0	13	77
1131	1562	chr4	17852015	17851996	-	4.0	0.8535	>>	0	13	77
1132	7207	chr1	39136126	39136107	+	3.992	1.932	>>	0	13	77
1133	391	chr1	153489234	153489215	-	3.99	7.715	>>	0	13	77
1134	4050	chr9	66136172	66136153	-	3.988	5.383	>>	0	13	77
1135	5110	chr1	109621431	109621412	-	3.979	11.484	>>	0	13	77
1136	5782	chr1	91723318	91723299	+	3.959	5.49	>>	0	13	77
1137	5501	chr1	3642291	3642272	-	3.959	4.75	>>	0	13	77
1138	5651	chr1	47304770	47304751	+	3.957	6.746	>>	0	13	77
1139	886	chr2	121144456	121144437	+	3.953	4.504	>>	0	13	77
1140	5788	chr1	93772223	93772204	-	3.928	3.56	>>	0	13	77
1141	4470	chr1	70967079	70967060	+	3.916	4.88	>>	0	13	77
1142	5716	chr1	59417085	59417066	-	3.91	5.0	>>	0	13	77
1143	3166	chr7	102484972	102484953	-	3.883	7.0	>>	0	13	77
1144	2133	chr5	38235667	38235648	-	3.879	10.78	>>	0	13	77
1145	5996	chr1	56885401	56885382	+	3.87	2.412	>>	0	13	77
1146	4911	chr1	75170669	75170650	-	3.861	7.984	>>	0	13	77
1147	4938	chr1	77980417	77980398	+	3.846	9.5	>>	0	13	77
1148	4171	chr9	94738712	94738693	+	3.828	14.92	>>	0	13	77
1149	2847	chr6	140466500	140466481	-	3.816	3.785	>>	0	13	77
1150	7546	chr1	57361025	57361006	-	3.814	6.484	>>	0	13	77
1151	5320	chr1	58972459	58972440	+	3.777	2.135	>>	0	13	77
1152	739	chr2	61490636	61490617	+	3.775	5.23	>>	0	13	77
1153	1613	chr4	44310651	44310632	+	3.762	4.973	>>	0	13	77
1154	4801	chr1	52766147	52766128	+	3.734	1.83	>>	0	13	77
1155	5752	chr1	72627587	72627568	-	3.717	4.066	>>	0	13	77
1156	3821	chr9	23012459	23012440	-	3.71	1.704	>>	0	13	77
1157	6652	chr1	31427924	31427905	-	3.705	3.383	>>	0	13	77
1158	5244	chr1	29895773	29895754	+	3.691	1.481	>>	0	13	77
1159	4093	chr9	73154557	73154538	+	3.666	9.1	>>	0	13	77
1160	311	chr1	127484437	127484418	-	3.66	8.8	>>	0	13	77
1161	4217	chr9	107566236	107566217	+	3.656	7.098	>>	0	13	77
1162	755	chr2	68118338	68118319	+	3.652	4.36	>>	0	13	77
1163	4674	chr1	11140836	11140817	-	3.629	13.69	>>	0	13	77
1164	5359	chr1	74014936	74014917	-	3.627	5.97	>>	0	13	77
1165	3311	chr7	138396301	138396282	-	3.621	0.934	>>	0	13	77
1166	6123	chr1	103534605	103534586	+	3.617	5.312	>>	0	13	77
1167	4601	chr1	115164112	115164093	-	3.613	3.031	>>	0	13	77
1168	3232	chr7	119019764	119019745	+	3.598	7.113	>>	0	13	77
1169	5798	chr1	96389525	96389506	-	3.588	1.339	>>	0	13	77
1170	6070	chr1	74723724	74723705	-	3.586	5.766	>>	0	13	77
1171	5985	chr1	55114114	55114095	-	3.57	7.387	>>	0	13	77
1172	4033	chr9	62784468	62784449	+	3.562	12.84	>>	0	13	77
1173	4653	chr1	127678167	127678148	-	3.541	2.129	>>	0	13	77
1174	6953	chr1	55948218	55948199	-	3.535	4.3	>>	0	13	77
1175	4945	chr1	78183263	78183244	-	3.525	12.305	>>	0	13	77
1176	2590	chr6	59207403	59207384	-	3.508	1.477	>>	0	13	77
1177	2835	chr6	135416919	135416900	+	3.498	4.027	>>	0	13	77
1178	2353	chr5	122104403	122104384	+	3.492	11.98	>>	0	13	77
1179	5599	chr1	37971068	37971049	-	3.482	3.088	>>	0	13	77
1180	2310	chr5	114612410	114612391	+	3.48	13.6	>>	0	13	77
1181	4596	chr1	114442226	114442207	+	3.46	2.104	>>	0	13	77
1182	970	chr2	145655527	145655508	-	3.44	2.05	>>	0	13	77
1183	3186	chr7	109507351	109507332	-	3.418	1.832	>>	0	13	77
1184	6560	chr1	10009965	10009946	+	3.402	4.965	>>	0	13	77
1185	6054	chr1	67969032	67969013	-	3.385	5.523	>>	0	13	77
1186	2439	chr5	140744055	140744036	-	3.348	10.35	>>	0	13	77
1187	124	chr1	56984334	56984315	+	3.338	2.584	>>	0	13	77
1188	956	chr2	137110782	137110763	+	3.328	1.323	>>	0	13	77
1189	6616	chr1	22267525	22267506	+	3.322	1.262	>>	0	13	77
1190	6537	chr1	4884595	4884576	-	3.3	2.822	>>	0	13	77
1191	2042	chr5	19458406	19458387	-	3.291	6.625	>>	0	13	77
1192	208	chr1	84697217	84697198	-	3.29	7.492	>>	0	13	77
1193	6162	chr1	122903088	122903069	-	3.29	2.205	>>	0	13	77
1194	3026	chr7	64056729	64056710	-	3.273	1.214	>>	0	13	77
1195	4085	chr9	71624061	71624042	-	3.273	15.39	>>	0	13	77
1196	4180	chr9	96885958	96885939	-	3.271	10.016	>>	0	13	77
1197	7228	chr1	46964733	46964714	-	3.266	8.555	>>	0	13	77
1198	1438	chr3	122638475	122638456	+	3.26	4.82	>>	0	13	77
1199	4168	chr9	94733848	94733829	+	3.256	3.768	>>	0	13	77
1200	439	chr1	167938404	167938385	-	3.25	6.79	>>	0	13	77
1201	488	chr1	180811841	180811822	+	3.244	6.383	>>	0	13	77
1202	4393	chr1	42760472	42760453	+	3.229	1.784	>>	0	13	77
1203	7136	chr1	20598347	20598328	+	3.213	4.758	>>	0	13	77
1204	7016	chr1	71909305	71909286	+	3.203	3.572	>>	0	13	77
1205	56	chr1	34459898	34459879	+	3.193	3.389	>>	0	13	77
1206	1835	chr4	117202234	117202215	-	3.191	9.61	>>	0	13	77
1207	6513	chr1	101313974	101313955	-	3.178	2.96	>>	0	13	77
1208	6581	chr1	13438138	13438119	+	3.176	1.241	>>	0	13	77
1209	3204	chr7	114878499	114878480	+	3.174	1.604	>>	0	13	77
1210	5114	chr1	109866735	109866716	+	3.166	2.812	>>	0	13	77
1211	1444	chr3	123509329	123509310	+	3.162	5.67	>>	0	13	77
1212	1415	chr3	114085881	114085862	-	3.146	0.5283	>>	0	13	77
1213	1851	chr4	120149384	120149365	-	3.145	8.09	>>	0	13	77
1214	6536	chr1	4549594	4549575	-	3.137	11.12	>>	0	13	77
1215	6393	chr1	78872224	78872205	+	3.133	9.35	>>	0	13	77
1216	5313	chr1	57231261	57231242	-	3.127	3.32	>>	0	13	77
1217	4086	chr9	71624949	71624930	-	3.125	15.0	>>	0	13	77
1218	1564	chr4	18963859	18963840	-	3.12	4.01	>>	0	13	77
1219	3495	chr8	40913366	40913347	-	3.115	1.625	>>	0	13	77
1220	2046	chr5	21645240	21645221	-	3.11	1.259	>>	0	13	77
1221	4458	chr1	68357244	68357225	+	3.094	1.353	>>	0	13	77
1222	826	chr2	93812077	93812058	-	3.06	11.82	>>	0	13	77
1223	5363	chr1	75669431	75669412	-	3.05	4.1	>>	0	13	77
1224	30	chr1	12844023	12844004	+	3.033	4.33	>>	0	13	77
1225	5414	chr1	86697142	86697123	+	3.025	6.996	>>	0	13	77
1226	4189	chr9	98033678	98033659	+	3.021	1.525	>>	0	13	77
1227	7477	chr1	37946902	37946883	+	3.02	4.082	>>	0	13	77
1228	4099	chr9	75271676	75271657	+	3.01	4.42	>>	0	13	77
1229	4809	chr1	55162881	55162862	+	2.996	3.625	>>	0	13	77
1230	6836	chr1	25274339	25274320	-	2.984	4.45	>>	0	13	77
1231	2746	chr6	108065317	108065298	+	2.984	5.535	>>	0	13	77
1232	2876	chr7	5071749	5071730	-	2.928	2.754	>>	0	13	77
1233	1520	chr3	152477906	152477887	-	2.922	3.295	>>	0	13	77
1234	2063	chr5	28090770	28090751	-	2.922	2.412	>>	0	13	77
1235	6081	chr1	78282622	78282603	+	2.91	2.186	>>	0	13	77
1236	6100	chr1	88480122	88480103	-	2.906	3.236	>>	0	13	77
1237	3181	chr7	107569047	107569028	+	2.902	1.588	>>	0	13	77
1238	1329	chr3	83777088	83777069	-	2.879	3.992	>>	0	13	77
1239	3518	chr8	48550865	48550846	+	2.871	0.592	>>	0	13	77
1240	3288	chr7	132575955	132575936	-	2.855	4.473	>>	0	13	77
1241	6094	chr1	79769127	79769108	-	2.852	4.36	>>	0	13	77
1242	7002	chr1	69974245	69974226	-	2.799	1.284	>>	0	13	77
1243	5328	chr1	66284211	66284192	-	2.793	5.484	>>	0	13	77
1244	2640	chr6	83796902	83796883	-	2.785	3.35	>>	0	13	77
1245	3903	chr9	44108077	44108058	+	2.785	11.375	>>	0	13	77
1246	5133	chr1	116023924	116023905	+	2.777	6.906	>>	0	13	77
1247	1343	chr3	86779824	86779805	-	2.775	8.64	>>	0	13	77
1248	7505	chr1	46056202	46056183	+	2.77	5.27	>>	0	13	77
1249	4587	chr1	108210181	108210162	-	2.762	0.674	>>	0	13	77
1250	557	chr2	5942987	5942968	-	2.355	1.604	>>	0	13	77
1251	7472	chr1	36797873	36797854	-	0.2357	0.2212	>>	0	13	77
1252	1479	chr3	136880595	136880576	-	0.1415	0.1262	>>	0	13	77
1253	665	chr2	32978727	32978708	+	0.1766	0.2253	>>	0	13	77
1254	4195	chr9	101609278	101609259	+	0.2035	0.1716	>>	0	13	77
1255	1146	chr2	180261540	180261521	-	0.09436	0.1631	>>	0	13	77
1256	6254	chr1	36736774	36736755	-	0.1387	0.1877	>>	0	13	77
1257	6523	chr1	102079574	102079555	-	0.477	0.3577	>>	0	13	77
1258	2942	chr7	34790988	34790969	-	0.1157	0.1633	>>	0	13	77
1259	486	chr1	180247266	180247247	+	0.2537	0.251	>>	0	13	77
1260	473	chr1	177808573	177808554	+	0.941	0.4321	>>	0	13	77
1261	2693	chr6	95482285	95482266	+	0.2084	0.1567	>>	0	13	77
1262	6800	chr1	9751927	9751908	-	0.8716	0.2449	>>	0	13	77
1263	4079	chr9	69982462	69982443	-	0.4172	0.2957	>>	0	13	77
1264	1093	chr2	167506759	167506740	+	0.208	0.1907	>>	0	13	77
1265	4451	chr1	64734398	64734379	+	0.0905	0.1497	>>	0	13	77
1266	5928	chr1	28511016	28510997	+	0.64	0.3154	>>	0	13	77
1267	6047	chr1	67229004	67228985	-	1.566	2.701	>>	0	13	77
1268	7385	chr1	9872696	9872677	-	0.3843	0.2046	>>	0	13	77
1269	7025	chr1	73307073	73307054	+	0.1782	0.1616	>>	0	13	77
1270	2359	chr5	122773202	122773183	+	0.11584	0.1375	>>	0	13	77
1271	1069	chr2	164078916	164078897	+	0.3767	0.1609	>>	0	13	77
1272	5221	chr1	17269239	17269220	-	0.1052	0.1422	>>	0	13	77
1273	3098	chr7	81785150	81785131	+	0.3015	0.2131	>>	0	13	77
1274	5886	chr1	12145613	12145594	+	0.09064	0.1477	>>	0	13	77
1275	7095	chr1	5992735	5992716	+	0.928	0.2854	>>	0	13	77
1276	2499	chr6	29688679	29688660	+	0.1602	0.231	>>	0	13	77
1277	4496	chr1	77271017	77270998	-	1.256	1.011	>>	0	13	77
1278	3046	chr7	68857795	68857776	-	0.1567	0.1818	>>	0	13	77
1279	2109	chr5	35579208	35579189	-	0.3066	0.1517	>>	0	13	77
1280	5238	chr1	29638220	29638201	+	0.5234	0.582	>>	0	13	77
1281	6719	chr1	62904648	62904629	-	0.217	0.1924	>>	0	13	77
1282	5995	chr1	56369245	56369226	+	0.2401	0.1912	>>	0	13	77
1283	129	chr1	57997821	57997802	-	0.1617	0.1635	>>	0	13	77
1284	3120	chr7	89909704	89909685	-	0.1937	0.3037	>>	0	13	77
1285	3794	chr9	9380281	9380262	+	0.2401	0.1716	>>	0	13	77
1286	3962	chr9	54699087	54699068	+	0.1782	0.3608	>>	0	13	77
1287	1219	chr3	36566898	36566879	+	0.3945	0.161	>>	0	13	77
1288	5528	chr1	18851904	18851885	+	0.3755	0.1643	>>	0	13	77
1289	3162	chr7	101901202	101901183	+	0.1941	0.2144	>>	0	13	77
1290	2943	chr7	34795415	34795396	-	0.1967	0.2012	>>	0	13	77
1291	4316	chr1	8245167	8245148	-	0.2905	0.1545	>>	0	13	77
1292	2855	chr6	143216473	143216454	-	0.6816	0.4546	>>	0	13	77
1293	577	chr2	15821995	15821976	-	0.1251	0.1611	>>	0	13	77
1294	2471	chr6	5617750	5617731	-	0.1473	0.1398	>>	0	13	77
1295	6787	chr1	3249270	3249251	-	0.1843	0.136	>>	0	13	77
1296	4341	chr1	19221238	19221219	+	1.197	1.57	>>	0	13	77
1297	6329	chr1	72546106	72546087	-	0.3105	0.412	>>	0	13	77
1298	4285	chr9	121709244	121709225	-	0.196	0.1823	>>	0	13	77
1299	2986	chr7	44979327	44979308	+	0.3008	0.3494	>>	0	13	77
1300	3134	chr7	99140772	99140753	-	0.511	0.3372	>>	0	13	77
1301	5088	chr1	106268121	106268102	+	0.08484	0.2556	>>	0	13	77
1302	2097	chr5	33997747	33997728	-	0.2231	0.2039	>>	0	13	77
1303	1929	chr4	134525521	134525502	+	0.2495	0.1492	>>	0	13	77
1304	3340	chr7	141206124	141206105	-	0.2207	0.2358	>>	0	13	77
1305	6866	chr1	29891832	29891813	-	0.1781	0.2461	>>	0	13	77
1306	320	chr1	130151533	130151514	-	0.4075	0.3347	>>	0	13	77
1307	4987	chr1	86687575	86687556	-	0.1794	0.1597	>>	0	13	77
1308	4251	chr9	113424640	113424621	+	2.748	3.713	>>	0	13	77
1309	2445	chr5	144242554	144242535	-	0.241	0.1987	>>	0	13	77
1310	5218	chr1	17019863	17019844	-	0.2795	0.2686	>>	0	13	77
1311	1937	chr4	136314230	136314211	+	0.1929	0.1663	>>	0	13	77
1312	1623	chr4	46672038	46672019	-	0.505	0.3887	>>	0	13	77
1313	2778	chr6	119466578	119466559	-	0.9824	0.9795	>>	0	13	77
1314	5958	chr1	36804236	36804217	+	0.2429	0.1985	>>	0	13	77
1315	4813	chr1	56110911	56110892	-	0.1318	0.1704	>>	0	13	77
1316	4456	chr1	68355236	68355217	+	0.276	0.1509	>>	0	13	77
1317	1913	chr4	131855485	131855466	+	0.296	0.2441	>>	0	13	77
1318	3156	chr7	101307522	101307503	-	0.12146	0.1545	>>	0	13	77
1319	4830	chr1	58347307	58347288	+	0.2369	0.1539	>>	0	13	77
1320	7520	chr1	48410908	48410889	+	0.1925	0.1614	>>	0	13	77
1321	6360	chr1	75928972	75928953	-	0.333	0.2568	>>	0	13	77
1322	1898	chr4	129671653	129671634	+	2.549	2.887	>>	0	13	77
1323	6978	chr1	64925300	64925281	+	0.1477	0.1666	>>	0	13	77
1324	3965	chr9	55404362	55404343	+	0.1454	0.1782	>>	0	13	77
1325	7236	chr1	50134999	50134980	-	0.10913	0.1742	>>	0	13	77
1326	729	chr2	59830389	59830370	+	1.953	2.002	>>	0	13	77
1327	3021	chr7	58827392	58827373	+	0.06854	0.1846	>>	0	13	77
1328	5803	chr1	97952600	97952581	-	1.149	1.087	>>	0	13	77
1329	1394	chr3	105668205	105668186	-	0.1644	0.2274	>>	0	13	77
1330	4046	chr9	65580309	65580290	+	0.3926	0.2427	>>	0	13	77
1331	5571	chr1	30545172	30545153	+	0.664	1.282	>>	0	13	77
1332	1750	chr4	89136938	89136919	-	0.2742	0.1498	>>	0	13	77
1333	508	chr1	183439204	183439185	-	0.4087	0.3728	>>	0	13	77
1334	1511	chr3	152090499	152090480	+	0.2961	0.2275	>>	0	13	77
1335	2147	chr5	44287418	44287399	-	0.248	0.155	>>	0	13	77
1336	771	chr2	72951843	72951824	+	0.448	0.275	>>	0	13	77
1337	965	chr2	139366059	139366040	-	0.1417	0.1328	>>	0	13	77
1338	716	chr2	51925394	51925375	+	0.2426	0.1547	>>	0	13	77
1339	4414	chr1	50901279	50901260	+	0.2524	0.1779	>>	0	13	77
1340	6961	chr1	56715630	56715611	+	0.1969	0.327	>>	0	13	77
1341	7392	chr1	10227399	10227380	-	0.16	0.2216	>>	0	13	77
1342	6251	chr1	36151907	36151888	+	0.326	0.1935	>>	0	13	77
1343	2500	chr6	30390882	30390863	-	2.375	1.498	>>	0	13	77
1344	3617	chr8	86057839	86057820	-	0.4597	0.3442	>>	0	13	77
1345	4977	chr1	84821611	84821592	+	0.1338	0.1602	>>	0	13	77
1346	4583	chr1	103436094	103436075	+	0.6406	0.316	>>	0	13	77
1347	3301	chr7	135721967	135721948	+	0.3826	0.592	>>	0	13	77
1348	3275	chr7	129649805	129649786	-	0.2837	0.1948	>>	0	13	77
1349	1888	chr4	128585895	128585876	-	1.084	0.2468	>>	0	13	77
1350	2421	chr5	137783371	137783352	+	2.355	4.902	>>	0	13	77
1351	6245	chr1	34515619	34515600	-	0.1909	0.2644	>>	0	13	77
1352	1959	chr4	139877044	139877025	+	0.3875	0.2688	>>	0	13	77
1353	3878	chr9	40192699	40192680	-	0.742	0.47	>>	0	13	77
1354	7324	chr1	75607684	75607665	+	0.06125	0.2646	>>	0	13	77
1355	524	chr1	186125533	186125514	-	0.0779	0.217	>>	0	13	77
1356	6442	chr1	84654802	84654783	-	1.08	0.644	>>	0	13	77
1357	666	chr2	32979048	32979029	-	0.449	0.2318	>>	0	13	77
1358	3521	chr8	49872625	49872606	+	0.11084	0.1516	>>	0	13	77
1359	4292	chr9	123133256	123133237	-	0.6445	0.3677	>>	0	13	77
1360	5444	chr1	100155727	100155708	-	0.95	0.8154	>>	0	13	77
1361	5862	chr1	116310859	116310840	-	0.803	0.1771	>>	0	13	77
1362	5795	chr1	95354302	95354283	-	0.3037	0.3337	>>	0	13	77
1363	3365	chr7	143479802	143479783	-	0.1267	0.2257	>>	0	13	77
1364	726	chr2	58698862	58698843	-	0.2115	0.1637	>>	0	13	77
1365	6449	chr1	85597154	85597135	+	0.1212	0.1898	>>	0	13	77
1366	5106	chr1	108889944	108889925	-	0.1874	0.1715	>>	0	13	77
1367	7463	chr1	32708462	32708443	+	0.2476	0.1682	>>	0	13	77
1368	4540	chr1	84452088	84452069	+	0.4578	0.2603	>>	0	13	77
1369	3832	chr9	26776607	26776588	+	0.9795	0.4067	>>	0	13	77
1370	5902	chr1	20691592	20691573	+	0.267	0.2161	>>	0	13	77
1371	1935	chr4	135959728	135959709	-	0.1604	0.2281	>>	0	13	77
1372	6983	chr1	66122696	66122677	+	0.2192	0.144	>>	0	13	77
1373	2137	chr5	38778180	38778161	-	0.358	0.3193	>>	0	13	77
1374	6170	chr1	7452190	7452171	+	0.1405	0.12085	>>	0	13	77
